promoter,Cecum,Ascending colon,Hepatic flexure of colon,Transverse colon,Descending colon,Sigmoid colon,Rectosigmoid junction,"Rectum, NOS"
CELF1_1,0.2885701882464045,0.2697682826704005,0.248163070305883,0.2905699868298015,0.211958442875026,0.2322962780721475,0.205453928131999,0.2163638873748045
CELF1_3,0.0463435349647925,0.046296956865931,0.046254825286816,0.044662156740022,0.047438408449305,0.046868919256526,0.044507665312165,0.042678841095543
PTPMT1_1,0.1163708589977799,0.1163949110287285,0.118421714822151,0.1095937958667825,0.111065290236051,0.1116719337166164,0.10591431337063,0.1027867319387245
PTPMT1_2,0.097385548774426,0.097037883106638,0.09850340293828,0.0908682280721905,0.092569865388968,0.092365034068387,0.088601633664606,0.0856932411002004
KBTBD4_1,0.0339545506825105,0.034202531192779,0.035836469745553,0.0340338030425575,0.033909347285763,0.033469548355713,0.0284168502109,0.028473507755294
NDUFS3_1,0.033308417226435,0.033691772904661,0.033030485245483,0.0318301899739395,0.031400059307176,0.0325162044028975,0.027632772653465,0.028250790971668
MTCH2_1,0.036619045096145,0.0352577085791855,0.036487679744014,0.0367697077250705,0.035480358833279,0.0358074267143985,0.035156258841193,0.0367181320795385
AGBL2_1,0.0431207405463555,0.0411291350382169,0.039918054237209,0.0392397107858165,0.039123066249248,0.0386788014522095,0.036012710465592,0.036109262263353
FNBP4_1,0.0331587314014499,0.031955469410097,0.029532013903966,0.0300454620249015,0.029812425636362,0.033419266435637,0.03125924103286,0.0309337190069299
NUP160_1,0.053002970172721,0.0546254362939025,0.051676028963585,0.0552906381926895,0.050265990506173,0.0524834301106515,0.043140737438414,0.0441459726605285
PTPRJ_1,0.144784105399184,0.135759332727829,0.10828567791669,0.1523693434200494,0.117275255056455,0.120289170545037,0.109365437421315,0.105056433737483
PTPRJ_2,0.144784105399184,0.135759332727829,0.10828567791669,0.1523693434200494,0.117275255056455,0.120289170545037,0.109365437421315,0.105056433737483
TNKS1BP1_2,0.2104081393817205,0.2041198206369885,0.151112723874795,0.2062443915906124,0.183687776735177,0.170102938389547,0.180315456971138,0.174876690095059
TNKS1BP1_1,0.04523655940033,0.0483422420767195,0.041740856636482,0.0462296943923375,0.041362966700041,0.044526865842049,0.041329735344748,0.041556167140218
TNKS1BP1_3,0.144564198932968,0.1474196518583644,0.118561285041977,0.147532718005597,0.133792146624771,0.1320923296479985,0.127773481033404,0.127636786547053
SSRP1_1,0.0636079959658665,0.0574497860188775,0.063400355489849,0.0606462346340395,0.04827181769568,0.05056901873624,0.049477625828687,0.0486676899521115
RTN4RL2_1,0.1270481918482545,0.0946284701281895,0.089990678152396,0.0727510353184165,0.086177171388911,0.0811828786237475,0.079772338091018,0.0790820396615345
RTN4RL2_2,0.059430858789435,0.057388604959697,0.061589329818621,0.0530435164047025,0.06452135102935,0.0588286585709935,0.057927991514179,0.0572577090830275
SLC43A1_2,0.0259945799687575,0.0273204618565639,0.027952461127617,0.0261592060929645,0.024488559145484,0.0264224097509015,0.024550487626037,0.0243789811506865
SLC43A1_1,0.026644262080692,0.0273900203627764,0.026996868020787,0.0269111705203475,0.024254024814691,0.0271897112434,0.024664864331559,0.024483115508
SLC43A1_3,0.0338852775404855,0.0328803458958225,0.031408814722232,0.032303474522687,0.027967404841111,0.0327304094480615,0.03043500655801,0.030477498000065
TIMM10_1,0.0774035496172295,0.0793660895542369,0.077527280006859,0.0725933791591165,0.076077746015089,0.077426097944439,0.076501988458472,0.075282802996908
UBE2L6_1,0.094946049097963,0.0953703335026555,0.098183873024607,0.097417212996467,0.095002546511537,0.0958522917713819,0.087167794063518,0.088056751736273
UBE2L6_3,0.1100267469426065,0.1115385717182275,0.114024537511737,0.1134034688187514,0.11054787299646,0.111818416033515,0.100995002372299,0.1022136298260985
CLP1_1,0.0898188399284515,0.091993248217493,0.078507816984455,0.0903043573970485,0.069066953631195,0.072351958060539,0.068410294325108,0.0701939011763715
ZDHHC5_3,0.056169627664704,0.0591213887469075,0.058283049845396,0.0530733400626175,0.054209932786137,0.056252316933772,0.055630541366076,0.0521471263951519
