,discarded,sigmoid,continuous
292,ANO6_1,MDM2_1,PLEKHA8_2
293,DTX4_2,PGGT1B_1,RANBP1_1
294,GPAA1_1,TREML4_1,P4HTM_2
295,DCP1B_1,CALHM2_1,SMARCC2_2
296,TRMT2A_1,MYT1L_1,NFKBIL1_1
297,CNTFR_1,CR2_1,S100A11_1
298,GRHL1_1,ANKRD44_3,SPRY1_2
299,CLIC1_2,CAPN1_2,HNF4A_2
300,KLHDC3_2,C17orf58_1,SFTA3_3
301,PHC3_1,PARD3B_2,CALY_1
302,UGGT1_1,SIX6_1,PPP1CB_3
303,MCM8_2,TMEM141_1,LYPLA2_1
304,PIK3R5_1,CWF19L1_1,TIPARP_2
305,ATRAID_2,ZNF474_2,DSTYK_2
306,UBTD2_3,NADK_4,ARHGEF11_2
307,HOXA6_2,JMJD4_1,NFIC_2
308,FAM64A_1,PIWIL4_1,NOC4L_1
309,F3_1,MPP3_1,S100A16_3
310,ELMSAN1_2,ARHGAP15_1,CDC37_1
311,ARIH1_1,NRG1_6,FRMD4A_2
312,WDFY2_1,DNAJB4_1,GMPR_1
313,LIMS2_1,PUS1_2,LPP_1
314,SEPT4_1,BDKRB2_7,KRTCAP3_1
315,ZNF287_1,CYYR1_1,CCDC33_1
316,KLK13_2,ERCC6L2_1,NR1D1_2
317,TMEM161A_1,NGFR_1,ADCY9_3
318,NTN4_2,HERC5_1,EFNA3_6
319,AURKB_1,SAMD1_2,ERLIN2_1
320,CX3CL1_1,CEACAM19_1,PRDM8_2
321,SLC1A6_1,NRG1_1,APEX1_1
322,MAP4_1,SLC23A1_2,FBN1_1
323,RPTOR_2,MGARP_2,CLTA_1
324,UBXN2B_1,DUSP19_1,TXNDC2_2
325,TM2D2_1,BTN2A2_1,C14orf159_3
326,SPEN_2,FAM174B_3,EPHB6_1
327,ZNF367_1,SFXN5_2,ASNS_1
328,SLAMF6_1,ANKRD17_2,IL18_1
329,AK7_1,KHDRBS2_1,PFKL_1
330,MRPL1_1,RPL22L1_1,NCR2_2
331,AZIN2_1,LYPLA1_1,TGFB3_2
332,SLA_3,WNT9B_2,DENND4A_5
333,ALG10B_1,NCMAP_1,C11orf1_3
334,S100A7_2,PPP2R5D_1,POLR1B_2
335,SKIV2L2_2,RBBP6_1,PRKAR1B_2
336,HLA-C_1,LSM5_1,OSBPL8_1
337,VLDLR_2,LRRN2_3,LCE1E_1
338,VAX1_2,IL12B_1,ITGA2_2
339,CHERP_3,SECTM1_3,UBL5_1
340,GSK3A_3,AMIGO1_1,PRKG1_4
341,KCTD17_1,ZNF333_1,MYO7B_1
342,HOXC6_2,IRF3_1,KIAA2013_1
343,DNAH2_1,ZNF718_1,ACAT2_1
344,PGAM1_1,SATB1_5,LCOR_4
345,LFNG_1,CDKN2B_1,CCDC47_2
346,RMI1_4,OLFML1_1,WDR61_2
347,CIB2_1,C2orf40_1,BPTF_1
348,ROCK2_1,ADORA2A_3,MEOX1_1
349,SHTN1_3,UBALD1_1,GGNBP2_1
350,SH2D2A_2,F12_1,CHN2_2
351,C21orf2_2,SP5_2,FH_1
352,BLOC1S6_1,TMIGD1_1,ZBTB20_6
353,ZNF621_1,HOXA10_6,CCL14_2
354,TMEM135_2,EGFR_1,FST_1
355,GATA3_1,ATP6V1B1_1,GP9_1
356,RAPGEFL1_1,PRDM10_4,ZNF703_1
357,NUP98_1,TBC1D15_1,TAP1_1
358,ATP13A1_1,NRG1_5,EYA3_1
359,DIO1_1,DENND5A_2,HECTD2_2
360,EHHADH_1,E2F1_1,SDCCAG3_3
361,MLYCD_3,RSPO2_1,MLC1_2
362,STX4_1,VWA1_1,STK24_1
363,ADORA3_3,FRMD5_1,SMARCA4_1
364,DOCK7_1,ZNF850_1,FBXO5_1
365,MCUR1_1,BGLAP_1,SCRT1_1
366,LYL1_3,SALL4_4,LGALS8_2
367,PARP6_1,SCARB2_1,EPHX2_1
368,IL4I1_1,IPPK_2,TRIM6_1
369,ZMYND12_1,DZIP1L_1,SEC23B_2
370,USP7_1,DNMBP_2,TPGS2_2
371,EAF1_1,HELZ_2,DOLPP1_1
372,FARP1_1,RCCD1_3,PHYKPL_1
373,ACKR2_2,TMSB10_1,AKAP11_2
374,KDM4D_1,BCL9L_1,ZNF808_2
375,ERBB4_1,ETV1_3,GPR17_1
376,GNG4_1,TPGS2_1,MTCL1_1
377,MKX_1,CADPS_2,SLC30A1_1
378,PAK6_7,ARL2BP_1,BCAS1_1
379,POU4F1_1,BDNF_3,TCIRG1_2
380,TXLNA_2,CAMK2N1_1,SHH_2
381,RAD23B_2,IL18BP_2,SKI_1
382,HCN2_1,BDKRB2_5,SPAG9_3
383,PHACTR3_1,DOCK8_4,NCOA7_2
384,FNDC3A_3,UGT8_2,PTTG1_1
385,DHRS4L2_1,PARP4_1,HMOX1_1
386,TXNRD2_1,SPATA4_1,RRBP1_1
387,FAM195B_1,ENDOU_1,ZNF20_1
388,TMEM9_1,CELF6_2,EP400_1
389,CRYAA_1,IL17C_1,VWA3A_2
390,BLOC1S6_2,CDC26_2,SMPD2_1
391,CTSW_1,PIP4K2A_1,TNPO1_2
392,GPR160_1,SETD4_2,TNFRSF18_2
393,AGMAT_1,CHUK_1,SNRPE_1
394,SLC4A8_4,UBXN11_1,SMAD6_4
395,TBC1D12_1,TTC19_2,ADAM15_1
396,VPS45_2,ZNF804A_2,CATSPERG_2
397,APOB_1,SDCBP2_3,IGHMBP2_1
398,ADGRF3_1,THOC7_1,CREG2_1
399,SNX10_2,B3GNT9_2,SHC3_2
400,CS_2,NARF_1,FMN1_2
401,DOC2B_2,PDLIM5_1,PAICS_3
402,ITLN1_1,HIVEP3_1,PHF11_1
403,AREG_1,POLR3B_1,SPA17_1
404,PROS1_2,CREG1_1,ARF1_2
405,STK10_2,ARF1_1,ATN1_1
406,RND2_1,ATXN10_2,SAPCD1_5
407,PLXNB1_3,SRPK1_2,POLI_1
408,GJC3_1,RASAL1_1,HOXB6_1
409,NCS1_1,DTX1_1,CAST_2
410,GUCA1B_1,PLEKHF2_2,MANBA_2
411,FBXL7_1,ENTPD7_1,AMPD1_1
412,EGFLAM_2,RORC_2,ZC3H7B_1
413,RFX5_2,SAP130_1,ABHD10_1
414,RABIF_1,POU1F1_1,NLE1_1
415,TOPBP1_1,NTRK3_2,C16orf95_3
416,GALR2_1,WDFY4_1,S1PR3_1
417,NTF3_1,DMRTC2_1,PTPN12_4
418,TTC28_1,POLR3E_1,ANKRD2_2
419,MARCH3_3,LTBR_2,NR3C1_7
420,KIAA1211L_1,WSCD1_3,GTSE1_3
421,CLCC1_3,ZIC4_1,TM2D1_2
422,ARFIP1_1,GRAMD1A_1,MTOR_1
423,BCAS4_1,METTL3_1,ROBO2_2
424,MAPK12_3,CHD4_3,RAB22A_1
425,BMPER_2,TTC37_1,SNX16_2
426,ARHGAP17_1,RNF10_1,MON1A_1
427,MSLN_2,CRTAC1_2,GDPD5_1
428,ST8SIA4_1,CRX_1,PCP2_1
429,TBXA2R_1,ZNF501_1,NTRK2_2
430,NCAM2_1,SMARCD2_2,TCF4_2
431,PLA2G2A_2,RB1CC1_1,EIF4G1_2
432,ZNF14_1,POC5_2,DRAP1_6
433,RASL10B_4,TMEM91_4,SLC2A3_1
434,ZNF653_1,MAP4K2_1,MAPT_2
435,NDUFV1_1,APOBEC2_2,PRKCH_1
436,PMP22_1,EIF2AK2_1,TNFAIP8_1
437,ITPR2_1,BTRC_1,ZNF524_3
438,ARID1B_2,SLC5A7_2,ASB1_2
439,FAM228A_1,RALB_1,KIAA1161_1
440,TP73_1,RBM34_2,FRMD5_2
441,MVB12B_1,ARF6_2,RAG1_1
442,ABCA5_1,SOHLH2_1,C14orf39_1
443,CXCL17_1,GNAL_2,DBNDD2_3
444,HEXA_2,APBB2_2,C17orf49_3
445,SLC18A2_1,MAP7D1_2,POLR1D_1
446,ADORA2A_1,RAB31_1,CLDN11_3
447,MAP2K1_1,CHST2_2,KAT5_2
448,SF3B1_1,TARBP2_1,EIF4E3_1
449,RAPGEF4_2,CR1L_1,FAM53C_1
450,GCM1_2,GSTO1_2,CAMKK1_2
451,PRKAG2_2,THEMIS_1,CAMSAP3_1
452,RBMS3_7,CALM1_1,CAP1_2
453,LIX1L_1,GALNT9_1,NAXE_1
454,ZNF439_1,PDE4D_7,SLC1A6_2
455,C11orf49_1,ZNF629_2,CYP51A1_2
456,CDK6_3,RAB1A_2,MICAL1_1
457,NUP188_3,RIC3_2,PLA2R1_1
458,ZFHX3_2,GRTP1_1,TMEM115_1
459,GNAZ_1,ALKBH6_1,GJD4_1
460,CCDC9_1,TBX3_1,ADAMTS13_1
461,RTFDC1_2,IFITM10_5,LAMTOR5_1
462,MTPAP_1,ECH1_1,VPREB3_1
463,MAPKAPK5_1,NRG1_3,FAM131B_1
464,ZNF540_1,TH_1,CNTNAP1_2
465,CYGB_1,PSMB8_3,CDON_2
466,FOXJ1_1,PTAFR_2,RAD54B_1
467,GIPC1_2,NKX2-5_2,SGK2_2
468,SMG7_2,BIRC2_2,MYOM3_1
469,EXOC3_1,PHOX2A_1,PPM1M_1
470,CHRNA4_1,ATP2C2_1,DNASE2B_1
471,PRKACB_1,SP7_1,GUK1_3
472,HUS1_1,FAM26E_1,RSL24D1_1
473,MAP2_2,GABRR1_1,MTUS1_2
474,SPRED1_2,TMEM177_1,ADGRE2_2
475,EMB_3,MSANTD2_1,DFNB59_2
476,SRSF9_1,ZFP69B_1,VARS2_1
477,ZNF672_1,MAP4K4_1,FOXO1_2
478,GPR162_3,SERGEF_1,CLPP_1
479,ITPR3_1,DIS3_1,LRCH1_1
480,EPSTI1_2,OPLAH_1,TACO1_1
481,COL5A1_1,ERRFI1_1,PDE10A_1
482,CHGB_2,SASH1_2,C21orf91_1
483,EFHC1_1,TRIM63_1,LAD1_3
484,MCCC1_3,EPM2A_3,GSTO2_1
485,GABRB1_2,PTPRK_1,CDH8_2
486,GAB2_1,ZNF517_2,NSMAF_2
487,APLF_1,ZBTB1_4,SYNRG_1
488,ZFAND2A_1,PLA2G2D_2,REV1_1
489,USP2_2,SCARB2_2,MICAL1_2
490,KCNV1_2,RMDN2_4,METTL6_1
491,GABPA_1,CYP2E1_1,EEF1B2_2
492,RHBDL1_2,GUCA1B_2,CSDC2_2
493,SLC4A8_1,ECSIT_1,C17orf75_1
494,ARSI_1,INO80B_2,CNOT2_1
495,RHNO1_1,EYA1_2,ZNF551_2
496,CD207_2,RD3_1,RAD51D_1
497,NCKAP5_2,RABAC1_1,ELMOD3_1
498,SLC1A3_1,FABP3_1,PFDN4_2
499,XBP1_1,C8orf37_2,TSPAN1_3
500,ZNF267_1,CEP135_1,ZAR1_1
501,TSPAN2_1,RNASEK_1,COX14_1
502,CCT6B_1,PAQR8_1,FAM71E1_1
503,CAB39_1,ACER3_1,UBE2B_1
504,C15orf61_1,KAZALD1_4,VAX1_1
505,NDUFAF5_2,SLFN12_2,ICK_1
506,SH3GL2_1,NCF4_1,AHI1_1
507,RPS8_1,ITPKA_1,PID1_1
508,CYB561A3_1,TUBA8_2,C9orf64_1
509,RNF138_2,SUSD5_1,ITGB3BP_1
510,ZNF582_1,WFDC13_1,NDRG2_1
511,KDM4A_1,BDKRB1_3,TEX2_1
512,LRRTM3_1,RGPD4_1,RBFOX1_4
513,HS3ST6_1,MUC5B_1,HDHD2_1
514,MPP2_1,SYNPO_1,ARL4D_1
515,ZNF595_1,ECH1_2,TRAPPC4_1
516,HOXC10_2,HLCS_1,ZNF543_1
517,GALM_2,BSDC1_1,ZNF24_1
518,MAP2K6_2,PKD2L1_1,PRPF6_2
519,PRRT1_1,CLRN3_1,NAV1_1
520,GADD45B_1,STXBP6_2,MEOX2_2
521,ALCAM_1,BMP2K_1,DST_1
522,GNB2_1,HIST1H3B_1,TARS_1
523,ZFP69_1,IWS1_1,BEND5_1
524,TUBGCP6_3,TIMM13_2,PCGF2_2
525,ARGLU1_1,USP37_1,TMC4_2
526,SENP8_1,GSN_2,DMXL2_3
527,HOXC8_1,PPP1R1C_3,GNAS_1
528,MYL3_2,ATXN7L1_1,SH3RF2_2
529,ZNF669_1,SUN2_3,MRPL14_1
530,COL1A1_1,HNF4G_3,TTC39B_2
531,EEF1AKMT4_1,ALDH1L1_2,UST_1
532,NIT2_1,TNFSF13_3,IL1RAP_1
533,C12orf4_1,DNMBP_1,TRNP1_2
534,DRD2_1,HMGXB4_1,DBT_1
535,HILPDA_1,PPP1R13L_3,PLEKHG6_1
536,ZNF470_1,RTN4_2,AMPD2_1
537,EMX1_1,ATP5A1_1,ABAT_3
538,BIN1_2,DPAGT1_1,REV3L_2
539,ZMPSTE24_1,MTMR3_1,C1QC_1
